File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\adapters\ABCGatewayAdapter.java,169,34,21,5,26,0,109,326,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\adapters\XYZGatewayAdapter.java,167,33,20,5,25,0,109,326,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\commands\AuthorizeCommand.java,42,11,7,1,7,0,24,88,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\commands\CaptureCommand.java,42,11,7,1,7,0,24,90,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\commands\CreditCommand.java,42,11,7,1,7,0,24,89,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\commands\SaleCommand.java,43,11,7,1,7,0,25,95,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\commands\VoidSaleCommand.java,42,11,7,1,7,0,24,89,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\AbstractPaymentCommand.java,46,12,8,1,7,0,27,91,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\IGatewayAdapter.java,81,14,8,0,9,0,58,245,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\IPaymentCommand.java,34,5,3,0,4,0,25,111,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\IPaymentRequest.java,64,10,9,0,10,0,44,140,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\IPaymentResponse.java,31,6,5,0,6,0,19,58,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\framework\PaymentException.java,26,6,4,0,4,0,16,54,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\processor\PaymentProcessor.java,91,35,24,3,14,0,42,153,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\processor\PaymentProcessorConfigurator.java,47,10,7,0,9,0,28,90,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\request\PaymentRequest.java,170,63,48,7,28,0,79,215,0,0
G:\大三 Amjed\tut11\jdepend-master\sample\epayment\response\PaymentResponse.java,80,28,21,3,13,0,39,113,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\AbstractParser.java,69,38,27,4,13,0,18,69,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\ClassFileParser.java,775,572,422,108,178,1,25,86,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\DependencyConstraint.java,160,85,58,31,31,0,44,164,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\FileManager.java,134,86,60,22,34,0,14,55,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\JavaClass.java,96,65,47,11,24,0,7,23,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\JavaClassBuilder.java,138,84,65,11,28,0,26,97,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\JavaPackage.java,273,161,113,44,53,0,59,245,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\JDepend.java,345,129,94,26,39,0,177,810,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\PackageComparator.java,49,28,20,5,13,0,8,33,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\PackageFilter.java,99,45,32,8,14,0,40,171,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\ParserListener.java,24,4,3,0,4,0,16,66,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\framework\PropertyConfigurator.java,143,89,67,15,28,0,26,101,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\AboutDialog.java,117,59,53,2,33,0,25,87,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\AfferentNode.java,66,21,14,5,11,0,34,138,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\DependTree.java,133,56,44,6,28,0,49,161,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\DependTreeModel.java,172,68,49,15,31,0,73,361,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\EfferentNode.java,87,29,20,9,13,0,45,192,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\JDepend.java,558,346,269,36,124,0,88,266,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\PackageNode.java,182,81,62,16,29,0,72,281,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\swingui\StatusPanel.java,39,16,13,0,5,0,18,65,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\textui\JDepend.java,528,359,255,29,113,0,56,190,0,0
G:\大三 Amjed\tut11\jdepend-master\src\jdepend\xmlui\JDepend.java,193,135,82,0,36,0,22,74,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\AllTests.java,35,23,20,1,8,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ClassFileParserTest.java,185,120,100,0,59,0,6,14,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\CollectAllCyclesTest.java,186,135,143,1,47,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ComponentTest.java,114,83,72,1,27,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ConstraintTest.java,105,72,66,0,29,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\CycleTest.java,197,147,152,3,46,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ExampleAbstractClass.java,31,17,11,1,10,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ExampleAnnotation.java,26,15,13,0,11,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ExampleConcreteClass.java,68,49,34,3,15,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ExampleInterface.java,20,8,7,0,8,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ExampleTest.java,154,85,69,2,35,0,34,168,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\FileManagerTest.java,101,71,52,0,26,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\FilterTest.java,71,52,43,0,15,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\JarFileParserTest.java,135,89,70,0,42,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\JDependTestCase.java,64,45,34,6,15,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\MetricTest.java,140,101,88,1,35,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ProfilingHarness.java,21,16,12,2,5,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\PropertyConfiguratorTest.java,67,46,38,0,17,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p1\ExampleInnerAnnotation.java,8,4,4,0,4,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p2\ExampleEnum.java,7,5,2,0,2,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p3\ExampleSecondEnum.java,6,4,2,0,2,0,0,0,0,0
